Nombre;Descripción;Tipo de datos;Tipo de información;Valor para anticorrupción;Existe en Colombia;Enlace;Entidad productora
Procesos de Adquisición;"El repositorio de datos que identifica cada oportunidad para un contrato público, describe el proceso que se siguió para adjudicarse, como las licitaciones. Estos repositorios deberían estar organizados de tal manera que sea posible vincular los datos a lo largo de las diferentes etapas de estos procedimientos; desde el momento en que se planificaron hasta el momento en que se otorgan los contratos, e idealmente, se implementan.";Transacción;Recursos públicos;Detección,Investigación;Si;https://www.datos.gov.co/browse?q=SECOP&sortBy=relevance;Colombia Compra Eficiente
Licencias;Repositorio de datos que permite identificar cada licencia o permiso otorgado por un gobierno a un individuo u organización para participar en un determinado negocio o realizar una actividad específica. También debería ser posible identificar los contratos o pagos realizados para recibir cada licencia, así como la fecha en que se emitió.;Transacción;Recursos públicos;Detección,Investigación;Parcial;;"ANLA
Supernotariado - en el 2017 asumio la vigilancia de las Curadurias Urbanas (Ley 1796 de 2017)"
Asociaciones público privadas;Datos sobre todas las asociaciones público-privadas que han sido acordadas por un gobierno o que están bajo planificación, que permiten desarrollar o implementar un proyecto público en colaboración con una entidad privada.;Transacción;Recursos públicos;Detección,Investigación;No;;Puede ser DNP
Gasto;Registros sobre los gastos incurridos por cada unidad del gobierno.;Transacción;Recursos públicos;Detección,Investigación;Si;;Ministerio de Hacienda y Crédito Público
Subsidios de gobierno;Se refiere a datos sobre donaciones y otro tipo de contribuciones que un gobierno ha otorgado a diferentes organizaciones o individuos. Un conjunto de datos también puede contener información sobre la toma de decisiones en torno a estas subvenciones.;Transacción;Recursos públicos;Detección,Investigación;Parcial;https://www.datos.gov.co/en/Educaci-n/Icetex-Becas-Vigentes/9ghi-7xv6;ICETEX
Contratos de gobierno;Repositorio de datos que identifica cada contrato público actual y pasado que ha sido firmado por una entidad gubernamental. El conjunto de datos debe permitir realizar un seguimiento de las modificaciones realizadas en un contrato a lo largo del tiempo, así como su ejecución o implementación. Al revisar este tipo de conjunto de datos, es clave para confirmar que se puede vincular a conjuntos de datos sobre los procedimientos que condujeron al contrato.;Registro;Recursos públicos;Detección,Investigación;Si;https://www.datos.gov.co/browse?q=SECOP&sortBy=relevance;Colombia Compra Eficiente
Datos de auditorías;Datos sobre los resultados de los procedimientos de auditoría y evaluación realizados por entidades gubernamentales externas o internas, como las Entidades Fiscalizadoras Superiores.;Transacción;Regulación;Detección,Investigación,Sanción;No;;Auditoria General de la nación
Votaciones;Repositorio de datos que registra los votos que realizan los miembros de los órganos legislativos y colegiados individualmente, de acuerdo con su mandato. En el caso de los cuerpos legislativos, por ejemplo, los datos sobre cada voto parlamentario sobre comités, proyectos de ley y resoluciones deben estar claramente identificados. Se pueden incluir datos adicionales sobre la justificación de la votación.;Divulgación pública;Regulación;Detección,Investigación,Sanción;Si;https://www.datos.gov.co/Funci-n-p-blica/Senado-Votaciones-Plenaria-Desde-2017/gui8-hxtm;Senado de la República
Decisiones judiciales;Registros sobre las decisiones legales tomadas por el poder judicial, así como también sobre los casos procesados.;Transacción;Regulación;Detección,Investigación,Sanción;Parcial;;"Consejo de Estado 
Fiscalía General de la Nación 
Corte Constitucional 
Rama Judicial"
Record de reuniones;Registros y actas de reuniones realizadas por altos funcionarios públicos, especialmente en publicaciones sensibles a la corrupción.;Divulgación pública;Regulación;Detección,Investigación;No;;Todas las entidaes
Cambios en regulaciones;Registros de modificaciones hechas a la legislación y otras reglamentaciones dentro de una jurisdicción, incluyendo información sobre las fechas en que fueron hechas y sus proponentes.;Divulgación pública;Regulación;Detección,Investigación;Si;https://www.datos.gov.co/Funci-n-p-blica/Proyectos-de-Ley/kcxp-nxum;"Senado de la República
Cámara de representantes 
Entidades Territoriales"
Promesas de campaña;Registro de las promesas hechas por los políticos durante las campañas electorales, para monitorear su implementación.;Registro;Regulación;Prevención,Detección;No;https://www5.registraduria.gov.co/CuentasClarasPublicoAti2015/Consultas/Candidato/Reporte/113524;"Partidos políticos
Programas de gobierno  - Registraduria, CNE Cuentas Claras"
Contratistas sancionados;Registro de entidades privadas o personas que han sido excluidas de participar en procedimientos de contratación gubernamentales o que han sido sancionadas debido a su comportamiento en procedimientos de contratación anteriores.;Registro;Regulación;Prevención,Detección;No;;"Procuraduría general de la Nación (SIRI)
Contraloría General de la República 
Colombia Compra Eficiente"
Quejas a procesos de adquisición;Registro de quejas cumplimentadas por empresas durante los procedimientos de contratación pública e información sobre su investigación y resultados.;Registro;Regulación;Prevención,Detección;No;;"Procuraduría general de la Nación 
Contraloría General de la República - Colombia Compra Eficiente"
Registro público de la propiedad;Registros de propietarios de tierras y propiedades dentro de una jurisdicción.;Registro;Extracción de rentas;Detección,Investigación;No;;
Impuestos;Registros de impuestos y otras tarifas o pagos, como regalías, recaudados por el gobierno y las empresas estatales.;Transacción;Extracción de rentas;Detección,Investigación;No;;"DIAN
DNP
Municipios - Rentas locales 
FUC"
Declaración patrimonial;Información y datos sobre los bienes en poder de los servidores públicos y los políticos pertinentes y sus familiares. En muchos países, la divulgación de activos es obligatoria para cualquier servidor público.;Divulgación pública;Extracción de rentas;Detección,Investigación;Parcial;;"SIGEP
Declaración de bienes y rentas"
